id,Durchmesser,Hoehe,Gewicht,Qualitaet,Fehler,Farbreinheit,ShineScore,Ionisationsfaktor,Fluxkomensation,Gammawert,XKlasse,Warpfaktor,LScore
4,11.5952808021378,21.1303829927127,244.013712368014,1.54624960386896,Ausschuss,0.810275517404079,16.0602766952066,23.6366745280054,441.795127250509,459.844662074789,II,277.724099930111,schlecht
6,9.17953161588198,24.4328997593673,243.342392056438,1.29014410170202,Ausschuss,0.344185654306784,6.68422337517252,25.8603920948431,598.136950664791,605.744903354238,I,278.66297990133,schlecht
7,10.4874290524285,22.1805418109127,243.133210212659,1.36355981104247,Ausschuss,0.810513393720612,16.3112653050221,22.1538860620882,491.198185944493,504.370257557575,IV,276.736663567047,schlecht
10,9.69461161284364,26.460980588195,247.632625101924,1.66535454376556,Ausschuss,0.82561690476723,16.64599386028,27.8284194068719,701.657435464007,712.376537617771,I,283.554562100091,schlecht
13,9.3787594194582,24.4308378917802,223.750403650563,1.62013827925389,Ausschuss,0.795037384610623,15.6608397084547,27.7778963584257,595.539026664469,606.574247903949,IV,253.559170912817,schlecht
14,7.7853001128225,23.6506839523352,185.235955068921,1.51750462929935,Ausschuss,0.572940919548273,11.5170454233776,23.2004205003572,559.916742874417,567.916433829449,III,217.901711440602,schlecht
16,9.95506639098477,24.4589441397699,234.629437256396,1.63427577277339,Ausschuss,0.887508746702224,17.7008563209197,26.7837596453136,597.739157570025,607.879891869215,III,266.96781124893,schlecht
25,10.6198257478947,23.4286238220872,253.036080449293,1.47632449109838,Ausschuss,0.517222787020728,10.3367432380562,22.2743607178273,548.981212380949,559.083958043976,I,284.540684803007,gut
28,8.52924761610073,22.759351297312,199.121839783442,1.43747257195301,Ausschuss,0.151335988426581,3.18047366823298,20.748245457459,517.300245061632,524.05386542063,III,232.56973566978,schlecht
29,9.52184994489138,24.4999683023624,220.102098335788,1.70319997486562,Ausschuss,0.187197267543525,3.84024230730828,26.2458497187329,596.317668973658,610.877888079065,I,254.362140568251,schlecht
34,9.9461949594171,24.2192897926261,249.814930351808,1.4224238850993,Ausschuss,0.824151100590825,16.4702095013554,22.1147832011738,589.765201181983,597.076670436545,I,285.39092017949,schlecht
35,8.62294044317139,24.8738761206256,218.952565732648,1.44871030819806,Ausschuss,0.243671769276261,4.7272357265886,23.8460401233042,617.249520752986,628.622183209519,IV,252.319512785524,schlecht
36,9.58500543670032,24.6953491682892,232.684109469269,1.58780295554386,Ausschuss,0.458702438278124,9.01710105762127,27.3197636937743,606.740600620739,620.177977484096,I,267.318084153273,schlecht
42,9.74663831986349,24.6752410088464,239.372313923113,1.53709392415647,Ausschuss,0.599613509373739,11.761236617173,22.519089478273,604.237850339585,616.687188584075,IV,272.380320728806,schlecht
46,9.29250484303788,23.6843182856398,223.621681129665,1.49594269031471,Ausschuss,0.424808434443548,8.58680467399738,24.0694338276227,559.753797882116,569.321003105844,II,255.129626245473,schlecht
52,9.38797360674923,22.6904099464151,207.516399263997,1.60488933522008,Ausschuss,0.457610938698053,9.0123782487194,24.1757434576149,514.563037368034,523.81779427357,II,240.099362429068,schlecht
54,8.87063690391921,22.1375695794652,198.955151546389,1.49997007449847,Ausschuss,0.437031348934397,8.9172979838137,21.4101266868019,490.409475208393,498.84249428299,I,231.73367145757,schlecht
56,11.9803998985059,24.2867743552449,300.026826775946,1.42160106704782,Ausschuss,0.154018271015957,3.17392968645841,24.4178652286669,591.070120758388,600.941414510854,IV,334.788161528072,gut
58,8.95586537368347,23.6797047874353,237.777478092059,1.19834686157381,Ausschuss,0.225341093493626,4.59116907658589,24.613621626647,557.751434283015,571.519629273483,II,271.909542406266,schlecht
61,12.4016177605048,24.266626659752,306.147966120639,1.47415649035277,Ausschuss,0.147243335377425,2.77368876937729,27.2873148406198,588.0932380783,599.152463398161,III,341.541605772719,gut
64,10.0280021587807,24.4235926945102,238.672548849277,1.6215721509729,Ausschuss,0.505420736968517,10.1401971313839,20.5095474592326,595.487363061868,605.937154498907,II,271.779581626833,schlecht
67,8.19504137110896,25.214234280974,201.081580528111,1.60340067833563,Ausschuss,0.584551154170185,11.7524032273368,27.0204558477889,633.156896769216,644.740962446982,III,234.224759980573,schlecht
73,10.6107263534891,22.1691895907237,240.283472840603,1.47055796615121,Ausschuss,0.65940248593688,13.1702660671196,21.2972812590967,493.411429447024,502.073941141376,III,273.587680107138,schlecht
74,9.06590236835575,25.0916901818433,228.856332720962,1.51345573676905,Ausschuss,0.913748982129619,18.4020622348885,23.0793678352442,628.3590813428,639.269915000723,III,268.318135671126,mittel
75,8.7463665997609,22.9289629852239,212.733490473497,1.36857946882998,Ausschuss,0.991571785416454,19.8625404563823,27.4518609063516,524.932196972349,531.702508624303,III,242.871097492653,schlecht
76,10.2914462355175,22.2741872549234,220.710068562746,1.63014429234576,Ausschuss,0.285265212878585,5.95764624179931,23.2051089758296,495.068417489267,504.544220149409,I,249.072349226569,schlecht
77,9.55670812678157,26.5019099929144,239.409956091797,1.71081911253997,Ausschuss,0.361245027277619,7.17551674296034,27.1793659370088,703.875813279329,710.197290594168,III,271.99283732041,schlecht
79,10.0743413241517,23.4387327972348,235.94303365633,1.5466925200672,Ausschuss,0.351408015703782,7.08055913044644,25.2631927724546,550.583853964668,559.423902021631,I,269.613976912009,schlecht
81,9.4313312671815,28.0522582627415,263.040046468588,1.57102998865844,Ausschuss,0.149193878285587,2.99217368815411,25.548169166205,787.234271937948,799.223455004732,I,301.625692191706,mittel
84,8.47643319957024,20.8884234736101,173.272899597216,1.5505305959896,Ausschuss,0.789038717281073,15.4877758323167,21.237385640655,434.590190337838,445.713442943038,III,200.934335371576,schlecht
86,10.3329503712135,22.0919204842744,238.083347360715,1.40092464299024,Ausschuss,0.850778323831037,17.3021378787535,23.7256049009324,488.0074398984,499.610254715763,I,270.927498845206,schlecht
90,10.2670987907722,21.157178957917,212.35213263797,1.5874491594144,Ausschuss,0.413783822208643,8.5780091156772,19.9591296108266,446.989722678321,456.053392163253,II,243.692801047153,schlecht
91,9.45747996900835,24.2062333134009,244.764622890655,1.32587892037716,Ausschuss,0.408890897640958,8.23902311395306,28.1904147624739,586.911228392573,594.152613265007,II,280.041448040804,schlecht
95,11.5868334545408,25.739839967863,305.655014471972,1.43960942850875,Ausschuss,0.515491097001359,9.9577369601966,24.3336040141844,659.572722302685,676.246113878126,II,343.121372407289,gut
101,9.37963332277588,23.3045646142579,226.184067655728,1.41757259247603,Ausschuss,0.889985510380939,17.8049035721599,22.1589667139544,544.781958996791,551.642130459822,IV,258.195573859264,schlecht
102,10.0421158731442,26.6439454870127,263.847014930308,1.57556696707093,Ausschuss,0.108351794071496,2.25576593366888,27.1616358763138,709.439436087257,720.987868367655,I,299.922426293238,mittel
103,9.08907835144755,23.3694910591497,199.912861858888,1.71106447836752,Ausschuss,0.626420214772224,12.8350725574934,22.5081317700054,545.832234708092,556.780479757427,I,232.616801977389,schlecht
106,11.7672872693726,27.6044491400379,332.636575664054,1.43527813902696,Ausschuss,0.0768467823509127,1.78261566819027,29.4858114118452,761.197634763041,774.297528160851,III,369.894006996132,gut
107,10.7167074760172,25.9541816605048,301.477330711788,1.25090084144955,Ausschuss,0.363281241618097,7.07666164349689,25.2788744167086,673.867807715782,682.782196963741,I,337.053174769261,gut
109,10.3841853578263,22.8971442385162,244.238276223458,1.45179667187786,Ausschuss,0.480775301810354,9.26643607110166,26.0603726383789,522.225562308722,538.987741916301,III,276.949968206515,schlecht
113,11.4322822385417,25.7917021227675,301.930903897325,1.43758091296933,Ausschuss,0.833481047069654,16.5852690372825,29.6417244855862,666.936775675243,678.082119165569,IV,342.272719518029,gut
118,9.72088669702344,24.9729820609065,248.380931627272,1.47194304134784,Ausschuss,0.302163127111271,6.34141262395734,26.0944904896659,625.58021750648,630.85414575416,II,280.585439141715,schlecht
120,9.82266951773039,25.4116661139007,247.263172611072,1.56078591789609,Ausschuss,0.330423441249877,6.47741148497055,25.7679918570328,644.207611893015,658.694896517557,II,280.335771439722,schlecht
